,time,resids,b_predictor
305,,,-3.933333333333333e-05
306,,,-4.022222222222223e-05
307,,,-5.6074074074074076e-05
308,,,-6.586666666666666e-05
309,,,-0.0001466666666666667
310,,,-0.00012677777777777777
311,,,-0.0001320952380952381
312,,,-0.0001452
313,,,-0.00015
314,,,-0.00010433333333333333
315,,,-0.00011791666666666667
316,,,-0.00012933333333333332
317,,,-0.00014333333333333334
318,,,-0.00015155555555555557
319,,,-0.0001502857142857143
320,,,-0.00015161904761904762
321,,,-0.00014916666666666664
322,,,-0.0001477777777777778
323,,,-0.00012847619047619047
324,,,-0.00012583333333333332
325,,,-0.000118
326,,,-0.00011904761904761903
327,,,-0.00012571428571428572
328,,,-0.00014323809523809523
329,,,-4.0761904761904765e-05
330,,,-4.14074074074074e-05
331,,,-3.542857142857143e-05
332,,,-5.2499999999999995e-05
333,,,-6.64e-05
334,,,-6.352380952380953e-05
335,,,-6.0799999999999994e-05
336,,,-6.5e-05
337,,,-6.066666666666666e-05
338,,,-6.4e-05
339,,,-6.755555555555557e-05
340,,,-5.8e-05
341,,,-6.266666666666667e-05
342,,,-5.693333333333333e-05
343,,,-4.811111111111111e-05
344,,,-3.5000000000000004e-05
345,,,-3.638095238095238e-05
346,,,-0.00012666666666666666
347,,,-0.00010725925925925927
348,,,-7.771428571428571e-05
349,,,-0.0001195
350,,,-0.00013244444444444444
351,,,-0.00011183333333333333
352,,,-0.00012644444444444443
353,,,-0.00012362962962962962
354,,,-0.0001980952380952381
355,,,-0.00018950000000000003
356,,,-0.00019533333333333336
357,,,-0.00017025
358,,,-0.00016066666666666668
359,,,-0.00016075
360,,,-0.00016283333333333332
361,,,-0.00015325
362,,,-0.0001546666666666667
363,,,-0.0001835
364,,,-0.00017980952380952382
365,,,-0.00018414814814814815
366,,,-0.00018695238095238096
367,,,-0.00018647619047619047
368,,,-0.0001862857142857143
369,,,-0.00011075
370,,,-9.366666666666666e-05
371,,,-8.966666666666666e-05
372,,,-3.542857142857143e-05
373,,,-4.9833333333333336e-05
374,,,-3.15e-05
375,,,-2.3916666666666668e-05
376,,,-2e-05
377,,,-2.9833333333333335e-05
378,,,-5.00952380952381e-05
379,,,-3.733333333333334e-05
380,,,-3.6e-05
381,,,-3.3e-05
382,,,-3.5333333333333336e-05
383,,,-4.0476190476190474e-05
384,,,-4.991666666666667e-05
385,,,-0.00012304761904761904
386,,,-0.00011741666666666667
387,,,-0.00011695238095238097
388,,,-0.00011516666666666667
389,,,-0.00011674999999999999
390,,,-0.00011716666666666665
391,,,-0.00011758333333333332
392,,,-0.00011847619047619048
393,,,-0.00011808333333333333
394,,,-0.00011847619047619048
395,,,-0.00011853333333333333
396,,,-0.00011095238095238096
397,,,-0.00010991666666666668
398,,,-0.00011009523809523809
399,,,-0.00010958333333333333
400,,,-0.00011291666666666667
401,,,-0.00011708333333333334
402,,,-0.00011561904761904763
403,,,-0.00011433333333333333
404,,,-0.0001118095238095238
405,,,-4.1333333333333326e-05
406,,,-4.5619047619047626e-05
407,,,-4.508333333333333e-05
408,,,-4.514285714285714e-05
409,,,-4.5249999999999995e-05
410,,,-4.495238095238094e-05
411,,,-4.433333333333333e-05
412,,,-4.266666666666667e-05
413,,,-3.514285714285714e-05
414,,,-2.866666666666667e-05
415,,,-2.725925925925925e-05
416,,,-2.6333333333333334e-05
417,,,-2.6000000000000002e-05
418,,,-3.45e-05
419,,,-3.4190476190476194e-05
420,,,-3.3499999999999994e-05
421,,,-3.3333333333333335e-05
422,,,-3.3333333333333335e-05
423,,,-0.00011025000000000001
424,,,-0.0001
425,,,-0.0001002962962962963
426,,,-0.00018399999999999997
427,,,-0.00017114285714285715
428,,,-0.00016611111111111113
429,,,-0.00016614814814814812
430,,,-0.00012655555555555554
431,,,-0.00012575
432,,,-0.00016066666666666668
433,,,-0.00016066666666666668
434,,,-0.00016266666666666667
435,,,-0.00016837037037037038
436,,,-0.00017876190476190477
437,,,-0.00010076190476190477
438,,,-0.00010171428571428572
439,,,-3.6083333333333334e-05
440,,,-4.208333333333333e-05
441,,,3.266666666666666e-05
442,,,3.1333333333333334e-05
443,,,3.1333333333333334e-05
444,,,3.152380952380952e-05
445,,,3.148148148148148e-05
446,,,3.933333333333333e-05
447,,,4.066666666666667e-05
448,,,4.066666666666667e-05
449,,,4.025e-05
450,,,4.1666666666666665e-05
451,,,3.266666666666666e-05
452,,,3.266666666666666e-05
453,,,3.341666666666667e-05
454,,,3.373333333333333e-05
455,,,-4.992592592592593e-05
456,,,-3.933333333333333e-05
457,,,-3.6e-05
458,,,-3.566666666666667e-05
459,,,-3.6e-05
460,,,-3.633333333333333e-05
461,,,-3.651851851851852e-05
462,,,-3.3199999999999994e-05
463,,,-2.7333333333333328e-05
464,,,-2.7333333333333328e-05
465,,,-2.3629629629629623e-05
466,,,-1.6555555555555552e-05
467,,,-1.9333333333333337e-05
468,,,-0.00010790476190476191
469,,,-9.116666666666667e-05
470,,,-9.085714285714286e-05
471,,,-9.066666666666666e-05
472,,,-9.066666666666666e-05
473,,,-9.104761904761906e-05
474,,,-8.691666666666666e-05
475,,,-1.1249999999999997e-05
476,,,-1.5142857142857139e-05
477,,,-1.5416666666666664e-05
478,,,-2.1066666666666663e-05
479,,,-7.749999999999983e-06
480,,,-7.416666666666657e-06
481,,,6.049999999999999e-05
482,,,5.933333333333333e-05
483,,,5.190476190476191e-05
484,,,4.971428571428571e-05
485,,,5.066666666666667e-05
486,,,5.066666666666667e-05
487,,,5.066666666666667e-05
488,,,4.495238095238096e-05
489,,,4.9e-05
490,,,5.066666666666667e-05
491,,,5.066666666666667e-05
492,,,5.1555555555555556e-05
493,,,4.755555555555556e-05
494,,,5.047619047619047e-05
495,,,5.962962962962963e-05
496,,,6.066666666666666e-05
497,,,6.146666666666665e-05
498,,,5.628571428571429e-05
499,,,5.847619047619047e-05
500,,,5.266666666666667e-05
501,,,5.266666666666667e-05
502,,,5.266666666666667e-05
503,,,6.903703703703704e-05
504,,,7.971428571428572e-05
505,,,8.125e-05
506,,,8.033333333333334e-05
507,,,-3.1666666666666666e-05
508,,,-0.00010800000000000001
509,,,-8.108333333333334e-05
510,,,-4.916666666666666e-05
511,,,-5.833333333333333e-05
512,,,-8.333333333333333e-05
513,,,-8.233333333333333e-05
514,,,-8.2e-05
515,,,-8.548148148148148e-05
516,,,-9.047619047619048e-05
517,,,-9.088888888888887e-05
518,,,-9.133333333333331e-05
519,,,-9.133333333333331e-05
520,,,-9.933333333333331e-05
521,,,-2.450000000000001e-05
522,,,-2.511111111111112e-05
523,,,-2.5166666666666678e-05
524,,,-2.533333333333334e-05
525,,,4.6916666666666664e-05
526,,,4.723809523809523e-05
527,,,5.333333333333333e-05
528,,,5.35e-05
529,,,5.3714285714285714e-05
530,,,5.366666666666667e-05
531,,,5.257142857142857e-05
532,,,4.42962962962963e-05
533,,,4.425e-05
534,,,4.514285714285714e-05
535,,,4.5333333333333335e-05
536,,,4.5333333333333335e-05
537,,,4.766666666666666e-05
538,,,4.8e-05
539,,,4.8e-05
